Word           Frequency      Posting List   
animal         1              [(2, 21783)]   

anne           1              [(2, 25710)]   

announced      2              [(1, 1978), (2, 5363)]

another        1              [(2, 8140)]    

anthony        1              [(2, 22862)]   

antioxidant    1              [(1, 18286)]   

antonio        1              [(2, 25865)]   

apart          1              [(2, 2911)]    

apdb           1              [(1, 19809)]   

aphids         1              [(1, 8864)]    

aphrodite      2              [(1, 3565), (1, 3667)]

apollo         1              [(1, 14846)]   

appear         2              [(1, 3119), (2, 3446)]

appears        2              [(2, 2451), (2, 7548)]

appetites      1              [(2, 19600)]   

apple          62             [(1, 0), (1, 356), (1, 362), (1, 386), (1, 572), (1, 623), (1, 1391), (1, 1456), (1, 1467), (1, 1616), (1, 2106), (1, 2224), (1, 2870), (1, 3531), (1, 3556), (1, 3607), (1, 3693), (1, 3887), (1, 4381), (1, 4821), (1, 4987), (1, 5067), (1, 5192), (1, 5571), (1, 5602), (1, 5808), (1, 6110), (1, 6389), (1, 6632), (1, 7663), (1, 8343), (1, 8715), (1, 8875), (1, 8980), (1, 9310), (1, 9688), (1, 9897), (1, 9920), (1, 10426), (1, 10786), (1, 11004), (1, 11757), (1, 12062), (1, 12164), (1, 12285), (1, 12321), (1, 12465), (1, 12474), (1, 12496), (1, 13395), (1, 13721), (1, 14472), (1, 16725), (1, 16880), (1, 17643), (1, 18257), (1, 18492), (1, 18849), (1, 18989), (1, 19005), (1, 19540), (1, 19601)]

applequist     1              [(1, 12763)]   

